"","brood_year","TagCode","hatchery","species_name","run_name","stock","psc_region","avg_weight","avg_length","first_release_date","LastRelDate","Ad_CWT","Unclipped_CWT","total_cwt_rel","release_site","release_year"
"139",2008,"634772","DEEP R NET PENS","Chinook","Fall","ELOCHOMAN R  25.0236","LOCR",5.81,NA,2009-06-01,2009-06-01,54670,110,54780,"DEEP R       25.0071","2009"
"140",2002,"631554","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.21,82,2003-06-09,2003-06-24,82761,0,82761,"KALAMA R     27.0002","2003"
"141",2010,"635694","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",6.13,80,2011-06-01,2011-06-24,203512,124,203636,"COWLITZ R    26.0002","2011"
"142",2013,"636657","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.68,79,2014-06-13,2014-06-15,219651,1113,220764,"COWLITZ R    26.0002","2014"
"143",2014,"636797","DEEP R NET PENS","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.33,85,2015-05-28,2015-05-28,104790,0,104790,"DEEP R       25.0071","2015"
"144",2014,"636801","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.39,78,2015-06-08,2015-06-08,98140,1112,99252,"KALAMA R     27.0002","2015"
"145",2014,"636821","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.75,78,2015-05-27,2015-05-27,207606,1022,208628,"COWLITZ R    26.0002","2015"
"146",2016,"637189","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.85,78,2017-06-20,2017-06-25,992229,3385,995614,"COWLITZ R    26.0002","2017"
"147",2018,"637449","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",5.66,78,2019-06-15,2019-06-21,97641,907,98548,"GREEN R      26.0323","2019"
"148",2002,"631544","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",9.07,91,2003-06-04,2003-07-08,50782,0,50782,"WASHOUGAL R  28.0159","2003"
"149",2017,"637344","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL HATCHERY","LOCR",5.81,77,2018-06-18,2018-06-21,103313,124,103437,"WASHOUGAL R  28.0159","2018"
"150",2016,"637096","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.59,78,2017-06-27,2017-06-27,50707,122,50829,"WASHOUGAL R  28.0159","2017"
"151",2019,"637629","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",5.81,74,2020-06-28,2020-07-04,95040,1291,96331,"GREEN R      26.0323","2020"
"152",2001,"631415","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",6.97,86,2002-06-13,2002-07-03,46429,0,46429,"WASHOUGAL R  28.0159","2002"
"153",2001,"165809","SEA RESOURCES HATCH","Chinook","Fall","CHINOOK R    24.0800","LOCR",4.93,NA,2002-06-03,2002-06-03,4117,0,4117,"CHINOOK R    24.0800","2002"
"154",2018,"637606","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ SAL HATCHERY","LOCR",5.98,81,2019-06-03,2019-06-21,656076,3297,659373,"COWLITZ R    26.0002","2019"
"155",2007,"634370","ELOCHOMAN HATCHERY","Chinook","Fall","ELOCHOMAN R  25.0236","LOCR",5.84,83,2008-06-06,2008-06-09,90474,461,90935,"ELOCHOMAN R  25.0236","2008"
"156",2004,"632476","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.74,80,2005-06-27,2005-06-27,85942,0,85942,"FALLERT CR   27.0017","2005"
"157",2007,"634280","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",7.28,86,2008-06-18,2008-07-08,202953,0,202953,"COWLITZ R    26.0002","2008"
"158",2011,"636195","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.72,84,2012-06-27,2012-06-27,95186,191,95377,"WASHOUGAL R  28.0159","2012"
"159",2002,"631410","ELOCHOMAN HATCHERY","Chinook","Fall","ELOCHOMAN R  25.0236","LOCR",6.29,80,2003-06-01,2003-06-15,87849,986,88835,"ELOCHOMAN R  25.0236","2003"
"160",2015,"636926","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.53,78,2016-06-22,2016-06-22,83465,699,84164,"WASHOUGAL R  28.0159","2016"
"161",2000,"630624","SEA RESOURCES HATCH","Chinook","Fall","CHINOOK R    24.0800","LOCR",3.78,NA,2001-06-11,2001-06-11,7075,0,7075,"CHINOOK R    24.0800","2001"
"162",2017,"637242","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",6.23,80,2018-06-01,2018-06-24,219316,276,219592,"COWLITZ R    26.0002","2018"
"163",2001,"631417","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",6.97,86,2002-06-13,2002-07-03,51288,440,51728,"WASHOUGAL R  28.0159","2002"
"164",2006,"633976","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",6.78,88,2007-06-18,2007-06-25,89092,2661,91753,"WASHOUGAL R  28.0159","2007"
"165",2008,"634385","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.89,78,2009-06-16,2009-06-16,89017,541,89558,"WASHOUGAL R  28.0159","2009"
"166",2011,"636264","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.07,79,2012-07-11,2012-07-11,61590,553,62143,"KALAMA R     27.0002","2012"
"167",2006,"633877","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",8.57,90,2007-06-19,2007-06-27,201746,368,202114,"COWLITZ R    26.0002","2007"
"168",2004,"633075","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",7.88,87,2005-06-15,2005-06-15,193228,1506,194734,"COWLITZ R    26.0002","2005"
"169",2010,"635597","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.81,NA,2011-07-04,2011-07-04,93934,227,94161,"FALLERT CR   27.0017","2011"
"170",2010,"635594","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.62,77,2011-06-30,2011-06-30,89745,1224,90969,"KALAMA R     27.0002","2011"
"171",2011,"636265","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.04,79,2012-07-12,2012-07-15,94248,707,94955,"GREEN R      26.0323","2012"
"172",2012,"636472","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.65,77,2013-06-11,2013-06-11,91503,368,91871,"WASHOUGAL R  28.0159","2013"
"173",2015,"636787","DEEP R NET PENS","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.55,77,2016-06-06,2016-06-06,79840,0,79840,"DEEP R       25.0071","2016"
"174",2018,"637441","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL HATCHERY","LOCR",5.39,76,2019-06-20,2019-06-20,103331,938,104269,"WASHOUGAL R  28.0159","2019"
"175",2016,"637093","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.69,176,2017-06-26,2017-06-26,49787,1298,51085,"KALAMA R     27.0002","2017"
"176",2013,"636668","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.68,79,2014-06-13,2014-06-23,218229,1102,219331,"COWLITZ R    26.0002","2014"
"177",2019,"637779","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ SAL HATCHERY","LOCR",5.64,78,2020-06-03,2020-07-08,103583,186,103769,"COWLITZ R    26.0002","2020"
"178",2014,"636799","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.66,75,2015-06-11,2015-06-11,100592,0,100592,"FALLERT CR   27.0017","2015"
"179",2016,"637153","MAYFIELD NET PEN","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.66,79,2017-06-13,2017-06-23,101104,253,101357,"COWLITZ R    26.0002","2017"
"180",2018,"637440","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R HATCH  27.0002","LOCR",5.84,80,2019-07-02,2019-07-02,100389,819,101208,"KALAMA R     27.0002","2019"
"181",2000,"630270","LYONS FERRY HATCHERY","Chinook","Fall","SNAKE R-LOWR 33.0002","LOCR",9.92,95,2001-06-01,2001-06-01,188157,10279,198436,"COL R @ RM 141","2001"
"182",2019,"637769","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ SAL HATCHERY","LOCR",5.64,78,2020-06-03,2020-07-08,20963,38,21001,"COWLITZ R    26.0002","2020"
"183",2000,"630621","SEA RESOURCES HATCH","Chinook","Fall","CHINOOK R    24.0800","LOCR",3.77,NA,2001-06-11,2001-06-11,6685,0,6685,"CHINOOK R    24.0800","2001"
"184",2013,"636473","DEEP R NET PENS","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.27,85,2014-06-10,2014-06-10,92805,0,92805,"DEEP R       25.0071","2014"
"185",2014,"636793","MAYFIELD NET PEN","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.28,84,2015-05-11,2015-06-05,100013,492,100505,"COWLITZ R    26.0002","2015"
"186",2015,"636923","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.81,81,2016-06-01,2016-06-01,103093,623,103716,"KALAMA R     27.0002","2016"
"187",2001,"631407","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.12,79,2002-06-24,2002-06-24,89919,0,89919,"FALLERT CR   27.0017","2002"
"188",2008,"634774","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.74,NA,2009-07-04,2009-07-04,90052,473,90525,"FALLERT CR   27.0017","2009"
"189",2003,"631996","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",9.58,95,2004-06-10,2004-07-07,45884,0,45884,"WASHOUGAL R  28.0159","2004"
"190",2017,"637341","MAYFIELD NET PEN","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.59,84,2018-06-04,2018-06-11,100804,0,100804,"COWLITZ R    26.0002","2018"
"191",2018,"637527","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ SAL HATCHERY","LOCR",5.7,81,2019-06-03,2019-06-06,453657,2279,455936,"COWLITZ R    26.0002","2019"
"192",2016,"637155","DEEP R NET PENS","Chinook","Fall","WASHOUGAL HATCHERY","LOCR",5.88,80,2017-06-22,2017-06-22,96867,565,97432,"DEEP R       25.0071","2017"
"193",2013,"636270","MAYFIELD NET PEN","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.66,77,2014-06-29,2014-07-02,102081,519,102600,"COWLITZ R    26.0002","2014"
"194",2010,"635592","DEEP R NET PENS","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.53,79,2011-06-28,2011-06-28,88095,168,88263,"DEEP R       25.0071","2011"
"195",2012,"636471","DEEP R NET PENS","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.9,80,2013-06-13,2013-06-13,87642,297,87939,"DEEP R       25.0071","2013"
"196",2014,"636756",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.38,NA,2015-05-29,2015-06-24,15839,0,15839,"LEWIS R -NF  27.0168","2015"
"197",2009,"635194","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.66,NA,2010-06-14,2010-07-02,88760,0,88760,"FALLERT CR   27.0017","2010"
"198",2014,"636838","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.96,79,2015-05-27,2015-06-05,886036,4363,890399,"COWLITZ R    26.0002","2015"
"199",2009,"635286","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",7.14,85,2010-06-10,2010-06-28,196409,1096,197505,"COWLITZ R    26.0002","2010"
"200",2002,"631869","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.57,82,2003-06-25,2003-07-06,87067,0,87067,"GREEN R      26.0323","2003"
"201",2007,"633791",NA,"Chinook","Fall","COWLITZ R    26.0002","LOCR",1.51,NA,2008-04-25,2008-06-08,10585,0,10585,"COWLITZ R -LOWER","2008"
"202",2010,"635897",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.45,NA,2011-06-22,2011-07-01,56316,0,56316,"LEWIS R -NF  27.0168","2011"
"203",2003,"632276","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",7.31,92,2004-07-08,2004-07-30,88906,0,88906,"GREEN R      26.0323","2004"
"204",2005,"632882","ELOCHOMAN HATCHERY","Chinook","Fall","ELOCHOMAN R  25.0236","LOCR",7.19,83,2006-06-05,2006-06-15,87294,2243,89537,"ELOCHOMAN R  25.0236","2006"
"205",2006,"633479","ELOCHOMAN HATCHERY","Chinook","Fall","ELOCHOMAN R  25.0236","LOCR",6.67,84,2007-06-07,2007-06-13,84521,1989,86510,"ELOCHOMAN R  25.0236","2007"
"206",2006,"633978","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",4.72,72,2007-07-02,2007-07-02,85712,1951,87663,"FALLERT CR   27.0017","2007"
"207",2009,"635193","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",4.62,72,2010-05-28,2010-05-28,90162,701,90863,"WASHOUGAL R  28.0159","2010"
"208",2003,"631872","ELOCHOMAN HATCHERY","Chinook","Fall","ELOCHOMAN R  25.0236","LOCR",6.97,86,2004-05-05,2004-05-31,86501,592,87093,"ELOCHOMAN R  25.0236","2004"
"209",2007,"634371","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.66,81,2008-07-06,2008-07-06,90250,0,90250,"FALLERT CR   27.0017","2008"
"210",2001,"631379","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",7,83,2002-06-05,2002-06-27,209732,0,209732,"COWLITZ R    26.0002","2002"
"211",2009,"635198","DEEP R NET PENS","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.72,79,2010-06-24,2010-06-24,83035,0,83035,"DEEP R       25.0071","2010"
"212",2017,"637383","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",6.06,80,2018-06-01,2018-06-08,611956,859,612815,"COWLITZ R    26.0002","2018"
"213",2003,"632573","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",7.39,85,2004-06-06,2004-06-14,196682,1867,198549,"COWLITZ R    26.0002","2004"
"214",2010,"635595","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.23,82,2011-06-28,2011-07-06,87551,1314,88865,"GREEN R      26.0323","2011"
"215",2000,"631252","SEA RESOURCES HATCH","Chinook","Fall","CHINOOK R    24.0800","LOCR",3.78,NA,2001-06-11,2001-06-11,21612,0,21612,"CHINOOK R    24.0800","2001"
"216",2015,"636788","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.66,73,2016-06-07,2016-06-30,94065,3262,97327,"FALLERT CR   27.0017","2016"
"217",2011,"636199","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.04,NA,2012-06-23,2012-07-02,95783,617,96400,"FALLERT CR   27.0017","2012"
"218",2012,"636490","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.68,79,2013-06-10,2013-06-13,200131,0,200131,"COWLITZ R    26.0002","2013"
"219",2000,"630279","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.47,81,2001-06-14,2001-06-28,92800,10,92810,"KALAMA R     27.0002","2001"
"220",2000,"630280","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.12,79,2001-06-25,2001-07-03,94418,2421,96839,"FALLERT CR   27.0017","2001"
"221",2013,"636656","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.67,79,2014-06-13,2014-06-15,218770,1101,219871,"COWLITZ R    26.0002","2014"
"222",2013,"636658","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.68,79,2014-06-13,2014-06-15,214568,1090,215658,"COWLITZ R    26.0002","2014"
"223",2013,"636639","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.33,75,2014-06-23,2014-06-23,99000,192,99192,"KALAMA R     27.0002","2014"
"224",2013,"636646","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.59,NA,2014-06-24,2014-06-24,102835,175,103010,"WASHOUGAL R  28.0159","2014"
"225",2014,"636795","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.59,79,2015-06-05,2015-06-05,101420,407,101827,"WASHOUGAL R  28.0159","2015"
"226",2018,"637452","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R HATCH  27.0002","LOCR",5.66,79,2019-06-17,2019-06-24,97244,587,97831,"FALLERT CR   27.0017","2019"
"227",2017,"637403","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",6.06,80,2018-06-01,2018-06-08,565213,793,566006,"COWLITZ R    26.0002","2018"
"228",2013,"636637","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.66,NA,2014-06-14,2014-06-14,101153,0,101153,"FALLERT CR   27.0017","2014"
"229",2005,"633484",NA,"Chinook","Fall","COWLITZ R    26.0002","LOCR",1.81,NA,2006-04-20,2006-04-20,8396,0,8396,"COWLITZ R -LOWER","2006"
"230",2010,"635580",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.45,NA,2011-07-05,2011-07-13,19251,0,19251,"LEWIS R -NF  27.0168","2011"
"231",2000,"630673","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",6.97,84,2001-05-23,2001-06-07,196240,3884,200124,"COWLITZ R    26.0002","2001"
"232",2003,"631873","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.21,81,2004-06-07,2004-06-15,87349,1239,88588,"KALAMA R     27.0002","2004"
"233",2006,"633970","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",7.43,84,2007-06-21,2007-06-30,84543,6040,90583,"GREEN R      26.0323","2007"
"234",2011,"636198","DEEP R NET PENS","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",6.09,82,2012-06-18,2012-06-18,95309,0,95309,"DEEP R       25.0071","2012"
"235",2015,"636921","MAYFIELD NET PEN","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.68,79,2016-05-26,2016-06-03,83852,472,84324,"COWLITZ R    26.0002","2016"
"236",2017,"637317",NA,"Chinook","Fall","LEWIS R      27.0168","LOCR",9.07,NA,2018-06-08,2018-06-19,51380,164,51544,"LEWIS R -NF  27.0168","2018"
"237",2015,"636612",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.26,NA,2016-06-02,2016-06-06,10057,0,10057,"LEWIS R -NF  27.0168","2016"
"238",2016,"637130",NA,"Chinook","Fall","LEWIS R      27.0168","LOCR",9.07,NA,2017-06-02,2017-06-20,52829,464,53293,"LEWIS R -NF  27.0168","2017"
"239",2004,"094024","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",NA,NA,2005-05-06,2005-05-27,10729,0,10729,"COLUMBIA R-2","2005"
"240",2005,"094424","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",41.73,NA,2006-07-19,2006-07-19,21815,202,22017,"YOUNGS R & BAY","2006"
"241",2003,"094025","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",1.34,NA,2004-06-09,2004-06-11,3644,0,3644,"COLUMBIA R-2","2004"
"242",2015,"091034","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",45.36,NA,2017-03-21,2017-03-24,16805,0,16805,"TANNER CR (BNVILLE)","2017"
"243",2006,"094604","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",13.5,NA,2007-06-28,2007-06-28,26981,1581,28562,"KLASKANINE R S FK","2007"
"244",2014,"090947","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",21.91,NA,2015-10-06,2015-10-06,43726,0,43726,"TANNER CR (BNVILLE)","2015"
"245",2004,"632477","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.29,82,2005-06-17,2005-06-17,90305,136,90441,"KALAMA R     27.0002","2005"
"246",2005,"094153","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",NA,NA,2006-04-21,2006-06-16,3883,0,3883,"COLUMBIA R-2","2006"
"247",2012,"090716","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",16.54,NA,2013-07-19,2013-07-19,29365,1130,30495,"KLASKANINE R S FK","2013"
"248",2016,"091137","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",5.71,NA,2017-05-01,2017-05-01,167037,0,167037,"TANNER CR (BNVILLE)","2017"
"249",2003,"094026","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",1.34,NA,2004-06-12,2004-06-16,3920,0,3920,"COLUMBIA R-2","2004"
"250",2016,"091169","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",17.75,NA,2017-09-05,2017-09-05,54119,0,54119,"TANNER CR (BNVILLE)","2017"
"251",2004,"093949","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",33.62,NA,2005-07-15,2005-07-15,24676,233,24909,"YOUNGS R & BAY","2005"
"252",2006,"094550","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",26.84,NA,2007-06-27,2007-06-27,22632,531,23163,"YOUNGS R & BAY","2007"
"253",2000,"093262","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",18.39,NA,2001-07-04,2001-07-04,23809,178,23987,"YOUNGS R & BAY","2001"
"254",2014,"636796","KLASKANINE HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.48,NA,2015-06-03,2015-06-03,95296,0,95296,"KLASKANINE R N FK","2015"
"255",2001,"093509","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",19.99,NA,2002-07-02,2002-07-02,23970,241,24211,"YOUNGS R & BAY","2002"
"256",2000,"093312","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",23,NA,2001-08-23,2001-08-23,26898,0,26898,"KLASKANINE R N FK","2001"
"257",2003,"093960","BIG CR HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",25.38,NA,2004-08-14,2004-08-27,27523,0,27523,"KLASKANINE R N FK","2004"
"258",2001,"093510","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",16.89,NA,2002-07-02,2002-07-02,24329,248,24577,"YOUNGS R & BAY","2002"
"259",2019,"091497","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",20.15,NA,2020-08-18,2020-08-21,53663,0,53663,"KLASKANINE R N FK","2020"
"260",2018,"091341","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",22.53,NA,2019-10-11,2019-10-11,30027,0,30027,"TANNER CR (BNVILLE)","2019"
"261",2009,"090337","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",19.11,NA,2010-07-25,2010-07-25,27289,302,27591,"KLASKANINE R S FK","2010"
"262",2014,"090823","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.79,NA,2015-05-11,2015-05-11,219794,769,220563,"BIG CR (LWR COL R)","2015"
"263",2002,"093524","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",1.23,NA,2003-05-06,2003-05-30,8529,0,8529,"COLUMBIA R-2","2003"
"264",2015,"636922","KLASKANINE HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",4.89,NA,2016-05-31,2016-05-31,96129,0,96129,"KLASKANINE R N FK","2016"
"265",2013,"055476","BONNEVILLE HATCHERY","Chinook","Fall","COLUMBIA R TULES","LOCR",5.44,NA,2014-05-16,2014-05-16,100470,0,100470,"TANNER CR (BNVILLE)","2014"
"266",2019,"091460","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",6.16,NA,2020-05-18,2020-05-27,469570,0,469570,"BIG CR (LWR COL R)","2020"
"267",2008,"090216","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",26.05,NA,2009-07-02,2009-07-03,25112,99,25211,"YOUNGS R & BAY","2009"
"268",2003,"094122","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.96,NA,2004-05-11,2004-05-19,225582,0,225582,"BIG CR (LWR COL R)","2004"
"269",2008,"090243","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",13.77,NA,2009-07-21,2009-07-21,27835,52,27887,"KLASKANINE R S FK","2009"
"270",2014,"090822","KLASKANINE HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.44,NA,2015-05-01,2015-05-01,51400,76,51476,"KLASKANINE R N FK","2015"
"271",2011,"090582","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.5,NA,2012-05-07,2012-05-07,221260,314,221574,"BIG CR (LWR COL R)","2012"
"272",2008,"090199","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.88,NA,2009-05-11,2009-05-20,225164,388,225552,"BIG CR (LWR COL R)","2009"
"273",2010,"090441","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",15.49,NA,2011-07-13,2011-07-15,28137,103,28240,"KLASKANINE R S FK","2011"
"274",2018,"091285","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",5.96,NA,2019-04-19,2019-04-19,171443,0,171443,"TANNER CR (BNVILLE)","2019"
"275",2013,"071250","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",13.15,NA,2014-07-14,2014-07-14,24401,96,24497,"KLASKANINE R N FK","2014"
"276",2017,"091182","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",6.44,NA,2018-04-30,2018-04-30,169646,0,169646,"TANNER CR (BNVILLE)","2018"
"277",2002,"093819","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",19.9,NA,2003-08-07,2003-08-07,27679,154,27833,"YOUNGS R & BAY","2003"
"278",2009,"090326","BONNEVILLE HATCHERY","Chinook","Fall","COLUMBIA R TULES","LOCR",5.57,NA,2010-05-03,2010-05-03,169767,0,169767,"TANNER CR (BNVILLE)","2010"
"279",2014,"090885","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",15.22,NA,2015-06-24,2015-06-27,26843,249,27092,"KLASKANINE R S FK","2015"
