"","brood_year","TagCode","hatchery","species_name","run_name","stock","psc_region","avg_weight","avg_length","first_release_date","LastRelDate","Ad_CWT","Unclipped_CWT","total_cwt_rel","release_site","release_year"
"30",2019,"637688",NA,"Chinook","Fall","LEWIS R      27.0168","LOCR",2.26,50,2020-05-28,2020-06-10,53429,113,53542,"LEWIS R -NF  27.0168","2020"
"31",2011,"092213","KLASKANINE HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.86,NA,2012-05-01,2012-05-08,54565,164,54729,"KLASKANINE R N FK","2012"
"32",2007,"634186",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.15,NA,2008-06-13,2008-07-15,54717,0,54717,"LEWIS R -NF  27.0168","2008"
"33",2017,"637228","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",5.82,NA,2018-06-04,2018-06-04,163037,0,163037,"TANNER CR (BNVILLE)","2018"
"34",2007,"634386","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.38,84,2008-07-21,2008-07-31,86345,886,87231,"GREEN R      26.0323","2008"
"35",2012,"636474","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.26,80,2013-06-05,2013-06-11,92778,519,93297,"KALAMA R     27.0002","2013"
"36",2001,"631408","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.38,81,2002-06-25,2002-06-30,41134,0,41134,"GREEN R      26.0323","2002"
"37",2004,"093948","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",29.3,NA,2005-07-18,2005-07-18,24724,247,24971,"YOUNGS R & BAY","2005"
"38",2004,"632474","ELOCHOMAN HATCHERY","Chinook","Fall","ELOCHOMAN R  25.0236","LOCR",9.07,95,2005-06-07,2005-06-10,88776,0,88776,"ELOCHOMAN R  25.0236","2005"
"39",2011,"636093","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",6.12,80,2012-06-07,2012-06-23,199720,1246,200966,"COWLITZ R    26.0002","2012"
"40",2019,"637613","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL HATCHERY","LOCR",5.89,78,2020-06-17,2020-06-17,98423,1014,99437,"WASHOUGAL R  28.0159","2020"
"41",2001,"093525","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",NA,NA,2002-05-02,2002-07-02,3252,0,3252,"COLUMBIA R-2","2002"
"42",2018,"637411","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",6.01,NA,2019-06-12,2019-06-12,192246,0,192246,"TANNER CR (BNVILLE)","2019"
"43",2001,"093533","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",12.33,NA,2002-08-01,2002-08-02,26560,48,26608,"KLASKANINE R N FK","2002"
"44",2019,"094702","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",20.92,NA,2020-10-01,2020-10-09,54643,0,54643,"TANNER CR (BNVILLE)","2020"
"45",2019,"091456","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",6.55,NA,2020-05-18,2020-05-18,26181,0,26181,"BIG CR (LWR COL R)","2020"
"46",2013,"090712","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",6.13,NA,2014-05-16,2014-05-16,210862,1560,212422,"BIG CR (LWR COL R)","2014"
"47",2000,"093261","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",22.17,NA,2001-07-04,2001-07-04,24672,137,24809,"YOUNGS R & BAY","2001"
"48",2016,"637094","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.69,175,2017-06-26,2017-06-26,48147,1255,49402,"KALAMA R     27.0002","2017"
"49",2004,"632478","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.38,81,2005-07-01,2005-07-08,85135,0,85135,"GREEN R      26.0323","2005"
"50",2011,"090567","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.5,NA,2012-05-07,2012-05-07,222646,2323,224969,"BIG CR (LWR COL R)","2012"
"51",2002,"093751","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.77,NA,2003-05-01,2003-05-19,213910,2815,216725,"BIG CR (LWR COL R)","2003"
"52",2005,"094423","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.72,NA,2006-05-02,2006-05-12,230174,426,230600,"BIG CR (LWR COL R)","2006"
"53",2001,"093513","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",16.39,NA,2002-07-02,2002-07-02,24551,51,24602,"YOUNGS R & BAY","2002"
"54",2003,"093955","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",26.87,NA,2004-07-15,2004-07-15,25013,314,25327,"YOUNGS R & BAY","2004"
"55",2005,"094429","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",17.97,NA,2006-07-22,2006-07-22,50153,0,50153,"KLASKANINE R S FK","2006"
"56",2000,"093259","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",16.89,NA,2001-07-04,2001-07-04,24081,385,24466,"YOUNGS R & BAY","2001"
"57",2015,"091006","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",13.07,NA,2016-07-11,2016-07-12,25420,48,25468,"KLASKANINE R N FK","2016"
"58",2010,"090368","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",22.37,NA,2011-06-28,2011-06-28,24721,41,24762,"YOUNGS R & BAY","2011"
"59",2002,"093809","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",25.55,NA,2003-07-24,2003-07-24,23529,303,23832,"YOUNGS R & BAY","2003"
"60",2009,"090323","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.65,NA,2010-04-30,2010-05-13,225945,0,225945,"BIG CR (LWR COL R)","2010"
"61",2009,"094151","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",27.16,NA,2010-07-08,2010-07-08,27017,97,27114,"YOUNGS R & BAY","2010"
"62",2015,"091009","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",5.82,NA,2016-04-15,2016-04-15,160298,0,160298,"TANNER CR (BNVILLE)","2016"
"63",2012,"636475","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.66,NA,2013-06-10,2013-06-10,93598,0,93598,"FALLERT CR   27.0017","2013"
"64",2019,"093629","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",9.34,NA,2020-07-29,2020-07-31,99439,360,99799,"KLASKANINE R N FK","2020"
"65",2017,"637261","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R HATCH  27.0002","LOCR",5.89,77,2018-06-26,2018-06-26,105080,571,105651,"KALAMA R     27.0002","2018"
"66",2019,"090714","KLASKANINE HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",6.02,NA,2020-05-08,2020-05-08,56420,0,56420,"KLASKANINE R N FK","2020"
"67",2019,"091458","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",5.82,NA,2020-04-15,2020-04-15,173129,0,173129,"TANNER CR (BNVILLE)","2020"
"68",2014,"094162","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",10.08,NA,2015-06-26,2015-06-26,26887,0,26887,"KLASKANINE R N FK","2015"
"69",2003,"093521","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",1.34,NA,2004-05-26,2004-06-04,7896,0,7896,"COLUMBIA R-2","2004"
"70",2016,"091136","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",5.85,NA,2017-06-23,2017-06-24,108056,0,108056,"KLASKANINE R N FK","2017"
"71",2004,"620227","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",14.41,NA,2005-07-14,2005-07-14,27530,292,27822,"KLASKANINE R S FK","2005"
"72",2002,"093523","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",1.71,NA,2003-06-03,2003-06-06,1172,0,1172,"COLUMBIA R-2","2003"
"73",2012,"090711","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",28.14,NA,2013-07-01,2013-07-01,24360,829,25189,"YOUNGS R & BAY","2013"
